Name,Description,Website,Category,,,,Tags,Digital Harms Addressed,Tech Focus,,Host Organization,Working group,Speakers,Audience,Partners,,License,Frequency (how often event occurs)Ã‚,,Date,,,,,,Location(s),,Twitter Profile,,Github Profile,Relevant Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThingsCon,ThingsCon is a global community & event platform for IoT practitioners. Our mission is to foster the creation of a human-centric & responsible Internet of Things (IoT).,https://thingscon.com,,,,,,,,,,,
ACM Fairness: Accountability: and Transparency,A computer science conference with a cross-disciplinary focus that brings together researchers and practitioners interested in fairness: accountability: and transparency in socio-technical systems.,https://fatconference.org/,,,,,,,,,ACM Fairness: Accountability: and Transparency,,
Data Governance Design Conference,,https://www.governingdata.org/,,,,,,,,,,,Governingdata.org
Auditing Algorithms From the Outside: Methods and Implications,,https://auditingalgorithms.wordpress.com,,,,,,,,,,,
Workshop on Data and Algorithmic Transparency,,http://datworkshop.org,,,,,,,,,,,
Algorithms and Explanations,,https://www.law.nyu.edu/centers/ili/events/algorithms-and-explanations,,,,,,,,,,,
Algorithms and Accountability Conference,,https://www.law.nyu.edu/centers/ili/AlgorithmsConference,,,,,,,,,,,
Governing Algorithms A conference on computation: automation: and control,,https://governingalgorithms.org,,,,,,,,,,,
Workshop on Trustworthy Algorithmic Decision-Making,,http://trustworthy-algorithms.org,,,,,,,,,,,
